noise_level,psnr_before,psnr_after,improvement_db
10,28.161762237548828,34.44658660888672,6.284824371337891
25,20.36090850830078,30.222049713134766,9.861141204833984
50,14.83216381072998,26.28878402709961,11.456620216369629
75,11.993871688842773,23.266498565673828,11.272626876831055
100,10.280521392822266,20.96309471130371,10.682573318481445
150,8.426117897033691,17.722633361816406,9.296515464782715
200,7.571138858795166,16.22109603881836,8.649957180023193
